식당명,도로명주소,지번주소,식당위도,식당경도,,,,,,,,,,,,,,,,,,,,,,,
예술이야,전라북도 전주시 완산구 효자천변1길 30-12,전라북도 전주시 완산구 효자동1가  663-6,35.7995764,127.1142908,,,,,,,,,,,,,,,,,,,,,,,
평규술집전북대점,전라북도 전주시 덕진구 명륜3길 15,전라북도 전주시 덕진구 덕진동1가 1263-23,35.8426669,127.1276728,,,,,,,,,,,,,,,,,,,,,,,
리틀하노이 효자점,전라북도 전주시 완산구 효자천변2길 13 상산빌딩,전라북도 전주시 완산구 효자동1가 651,35.8048843,127.1141437,,,,,,,,,,,,,,,,,,,,,,,
다가생구이 본점,전라북도 전주시 완산구 전주객사2길 38-6,전라북도 전주시 완산구 고사동 462-9,35.8185493,127.1410306,,,,,,,,,,,,,,,,,,,,,,,
도도랑 족발보쌈 송천점,전라북도 전주시 덕진구 천마산로 54,전라북도 전주시 덕진구 송천동1가 107-202,35.8641069,127.1277675,,,,,,,,,,,,,,,,,,,,,,,
본죽&비빔밥cafe 전북대점,전라북도 전주시 덕진구 권삼득로 333 (덕진동1가) 103호,전라북도 전주시 덕진구 덕진동1가 664-6,35.845103,127.1257865,,,,,,,,,,,,,,,,,,,,,,,
올어바웃,전라북도 전주시 덕진구 경동로 38 다솜빌 1층,전라북도 전주시 덕진구 덕진동2가 675-10,35.8430277,127.1103395,,,,,,,,,,,,,,,,,,,,,,,
어쭈구리왕문어,전라북도 전주시 완산구 문학대2길 14 1층,전라북도 전주시 완산구 효자동3가 1621-20,35.8254648,127.103365,,,,,,,,,,,,,,,,,,,,,,,
차마실,전라북도 전주시 덕진구 솔내로 107 2층,전라북도 전주시 덕진구 송천동1가  137-104,35.8596619,127.1263601,,,,,,,,,,,,,,,,,,,,,,,
오거리손만두찐빵 오거리점,전라북도 전주시 완산구 전주객사5길 99,전라북도 전주시 완산구 고사동 227-5,35.8225513,127.1440623,,,,,,,,,,,,,,,,,,,,,,,
명기주막,전라북도 전주시 완산구 성지산3길 21,전라북도 전주시 완산구 효자동1가 554,35.8055137,127.1211422,,,,,,,,,,,,,,,,,,,,,,,
마로커피관,전라북도 전주시 완산구 전주객사1길 46-11,전라북도 전주시 완산구 다가동4가 89-4,35.8186849,127.1396142,,,,,,,,,,,,,,,,,,,,,,,
족발야시장 아중점,전라북도 전주시 덕진구 아중로 189,전라북도 전주시 덕진구 인후동1가 924-10,35.8276647,127.1699522,,,,,,,,,,,,,,,,,,,,,,,
타볼로,전라북도 전주시 완산구 전라감영2길 28-19,전라북도 전주시 완산구 중앙동1가 49-2,35.8161471,127.1421996,,,,,,,,,,,,,,,,,,,,,,,
디에떼에스프레소 전주송천2호점,전라북도 전주시 덕진구 시천로 52,전라북도 전주시 덕진구 송천동1가 833-4,35.8639809,127.1146472,,,,,,,,,,,,,,,,,,,,,,,
