,식당명,도로명주소,지번주소,식당위도,식당경도,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
2270,두리반,전라북도 전주시 완산구 최명희길 25,전라북도 전주시 완산구 풍남동3가 74-5 교동아트스튜디오,35.8158967,127.1517534,,,,,,,,,,,,,,,,,,,,,,,
2326,두이모,전라북도 전주시 완산구 자만동2길 21,전라북도 전주시 완산구 교동 54-44,35.81418729999999,127.1567435,,,,,,,,,,,,,,,,,,,,,,,
2332,홍삼파는화가,전라북도 전주시 완산구 은행로 62,전라북도 전주시 완산구 교동 69-5 솟대장승마을,35.8144444,127.1525054,,,,,,,,,,,,,,,,,,,,,,,
2334,정갈한 솜씨,전라북도 전주시 완산구 은행로 63,전라북도 전주시 완산구 교동 68-1,35.8144219,127.1528001,,,,,,,,,,,,,,,,,,,,,,,
2337,현대옥 한옥마을점,전라북도 전주시 완산구 오목대길 66,전라북도 전주시 완산구 교동 92-12,35.8130557,127.15259499999999,,,,,,,,,,,,,,,,,,,,,,,
2340,1723,전라북도 전주시 완산구 오목대길 83,전라북도 전주시 완산구 교동 98-2,35.812708,127.1517088,,,,,,,,,,,,,,,,,,,,,,,
2342,외할머니 솜씨,전라북도 전주시 완산구 오목대길 81-8,전라북도 전주시 완산구 교동 97-1,35.812732399999994,127.1520152,,,,,,,,,,,,,,,,,,,,,,,
2344,누이단팥빵 한옥마을점,전라북도 전주시 완산구 태조로 29-1,전라북도 전주시 완산구 교동 72-3,35.814237799999994,127.151569,,,,,,,,,,,,,,,,,,,,,,,
2347,만년닭강정,전라북도 전주시 완산구 태조로 27,전라북도 전주시 완산구 교동 70-5,35.8143692,127.15184209999998,,,,,,,,,,,,,,,,,,,,,,,
2352,가온집,전라북도 전주시 완산구 은행로 68-12,전라북도 전주시 완산구 교동 80-19,35.8138215,127.1521304,,,,,,,,,,,,,,,,,,,,,,,
2353,노매딕 브루잉 비어가든,전라북도 전주시 완산구 향교길 57,전라북도 전주시 완산구 교동 110-1,35.811918299999995,127.15267820000001,,,,,,,,,,,,,,,,,,,,,,,
2354,진까,전라북도 전주시 완산구 향교길 48,전라북도 전주시 완산구 교동 202-2,35.8116336,127.1522341,,,,,,,,,,,,,,,,,,,,,,,
2356,하레,전라북도 전주시 완산구 향교길 44,전라북도 전주시 완산구 교동 215-2,35.811633,127.15194199999999,,,,,,,,,,,,,,,,,,,,,,,
2359,빙허각,전라북도 전주시 완산구 향교길 104,전라북도 전주시 완산구 교동 141-1,35.8118449,127.1552719,,,,,,,,,,,,,,,,,,,,,,,
2360,남천마루,전라북도 전주시 완산구 전주천동로 66,전라북도 전주시 완산구 교동 183-6,35.811276299999996,127.15349309999999,,,,,,,,,,,,,,,,,,,,,,,
2363,로띠팜,전라북도 전주시 완산구 향교길 27,전라북도 전주시 완산구 교동 243-1,35.8117626,127.1510695,,,,,,,,,,,,,,,,,,,,,,,
2368,한스브레드,전라북도 전주시 완산구 태조로 37,전라북도 전주시 완산구 교동 274-1,35.8140984,127.15059280000001,,,,,,,,,,,,,,,,,,,,,,,
